SMILES,logPapp,n_measurements,label_mean,label_median,label_std,label_min,label_max,label_range
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-4.6900001,1,-4.6900001,-4.6900001,,-4.6900001,-4.6900001,0.0
C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2C(O)c1ccnc2ccc(OC)cc12,-4.6799998,1,-4.6799998,-4.6799998,,-4.6799998,-4.6799998,0.0
CC#CC#CCC/C=C\C=C\C(=O)NCC(C)CC,-3.9512346999999997,2,-3.9512346999999997,-3.9512346999999997,0.2421624350888885,-4.1224694,-3.78,0.34246940000000015
CC#CC#CCCCC/C=C/C(=O)NCC(C)CC,-4.22978685,2,-4.22978685,-4.22978685,0.00030143962081950455,-4.23,-4.2295737,0.0004262999999999906
CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O,-5.1687455,1,-5.1687455,-5.1687455,,-5.1687455,-5.1687455,0.0
CC(=O)C(NC(=O)CN)c1ccc(O)cc1,-5.2800002,1,-5.2800002,-5.2800002,,-5.2800002,-5.2800002,0.0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-4.52729535,2,-4.52729535,-4.52729535,0.14524645037013814,-4.6300001,-4.4245906,0.20540950000000002
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,-4.1799998,1,-4.1799998,-4.1799998,,-4.1799998,-4.1799998,0.0
CC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,-4.6937804,1,-4.6937804,-4.6937804,,-4.6937804,-4.6937804,0.0
CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.7538648,1,-4.7538648,-4.7538648,,-4.7538648,-4.7538648,0.0
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.9299998,1,-4.9299998,-4.9299998,,-4.9299998,-4.9299998,0.0
CC(=O)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,-5.6199999,1,-5.6199999,-5.6199999,,-5.6199999,-5.6199999,0.0
CC(=O)NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1ccccc1,-6.6300001,1,-6.6300001,-6.6300001,,-6.6300001,-6.6300001,0.0
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NCC(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(C)C(N)=O,-7.4981046,1,-7.4981046,-7.4981046,,-7.4981046,-7.4981046,0.0
CC(=O)NC(O)CNc1ccc(C(C)=O)cc1,-5.2199998,1,-5.2199998,-5.2199998,,-5.2199998,-5.2199998,0.0
CC(=O)NCC(=O)NCCc1ccccc1,-4.6597776,1,-4.6597776,-4.6597776,,-4.6597776,-4.6597776,0.0
CC(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(N)=O,-6.5900002,1,-6.5900002,-6.5900002,,-6.5900002,-6.5900002,0.0
CC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(N)=O,-7.0100002,1,-7.0100002,-7.0100002,,-7.0100002,-7.0100002,0.0
CC(=O)NCC1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)O1,-4.7199998,1,-4.7199998,-4.7199998,,-4.7199998,-4.7199998,0.0
CC(=O)NCC1CN(c2cc(F)c(-c3ccncc3)c(F)c2)C(=O)O1,-4.29,1,-4.29,-4.29,,-4.29,-4.29,0.0
CC(=O)NCC1CN(c2ccc(C(C)=O)cc2)C(=O)O1,-4.5900002,1,-4.5900002,-4.5900002,,-4.5900002,-4.5900002,0.0
CC(=O)NCC1CN(c2ccc(C(C)=O)cc2)S(=O)N1C,-5.1199999,1,-5.1199999,-5.1199999,,-5.1199999,-5.1199999,0.0
CC(=O)NCC1CN(c2ccc(C(C)O)cc2)C(=O)N1,-5.6999998,1,-5.6999998,-5.6999998,,-5.6999998,-5.6999998,0.0
CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(C#N)nc3)c(F)c2)C(=O)O1,-4.3783755,1,-4.3783755,-4.3783755,,-4.3783755,-4.3783755,0.0
CC(=O)NC[C@H]1CN(c2ccc(-c3nnc(CC/C(C)=N\O)s3)c(F)c2)C(=O)O1,-5.250906,1,-5.250906,-5.250906,,-5.250906,-5.250906,0.0
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,-4.6788902,1,-4.6788902,-4.6788902,,-4.6788902,-4.6788902,0.0
CC(=O)N[C@@H](C(=O)NCCc1ccccc1)C(C)C,-4.4610906,1,-4.4610906,-4.4610906,,-4.4610906,-4.4610906,0.0
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)NCC(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(N)=O,-7.29,1,-7.29,-7.29,,-7.29,-7.29,0.0
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(N)=O,-7.3099999,1,-7.3099999,-7.3099999,,-7.3099999,-7.3099999,0.0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,-4.9229274,1,-4.9229274,-4.9229274,,-4.9229274,-4.9229274,0.0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,-5.3484769,1,-5.3484769,-5.3484769,,-5.3484769,-5.3484769,0.0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,-5.7648687,1,-5.7648687,-5.7648687,,-5.7648687,-5.7648687,0.0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(N)=O,-5.6994848,1,-5.6994848,-5.6994848,,-5.6994848,-5.6994848,0.0
CC(=O)N[C@@H](Cc1ccccc1)C(N)=O,-5.10009,1,-5.10009,-5.10009,,-5.10009,-5.10009,0.0
CC(=O)N[C@H](C)C(=O)NCCc1ccccc1,-4.6095328,1,-4.6095328,-4.6095328,,-4.6095328,-4.6095328,0.0
CC(=O)N[C@H](CC(C)C)C(=O)NCCc1ccccc1,-4.5132465,1,-4.5132465,-4.5132465,,-4.5132465,-4.5132465,0.0
CC(=O)N[C@H](CC1CCCCC1)C(=O)NCCc1ccccc1,-4.3517656,1,-4.3517656,-4.3517656,,-4.3517656,-4.3517656,0.0
CC(=O)N[C@H](Cc1ccccc1)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(N)=O,-5.0900002,1,-5.0900002,-5.0900002,,-5.0900002,-5.0900002,0.0
CC(=O)N[C@H](Cc1ccccc1)C(=O)NCCc1ccccc1,-4.4210458,1,-4.4210458,-4.4210458,,-4.4210458,-4.4210458,0.0
CC(=O)Nc1ccc(O)cc1,-4.4400001,1,-4.4400001,-4.4400001,,-4.4400001,-4.4400001,0.0
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,-5.6199999,3,-5.655210333333334,-5.6199999,0.07811001150200489,-5.7447276,-5.6009035,0.1438240999999998
CC(=O)OC(C)OC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCOCC4)cc3)C(=O)C2)CC1,-4.5100002,1,-4.5100002,-4.5100002,,-4.5100002,-4.5100002,0.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.4525001,2,-4.4525001,-4.4525001,0.2439516980880027,-4.625,-4.2800002,0.3449998000000001
CC(=O)c1ccc(N2CC(CN)OC2=O)cc1,-4.8499999,1,-4.8499999,-4.8499999,,-4.8499999,-4.8499999,0.0
CC(=O)c1ccc(N2CC(CO)OC2=O)cc1,-4.1799998,1,-4.1799998,-4.1799998,,-4.1799998,-4.1799998,0.0
CC(=O)c1ccc2c(c1)N1C(=O)OCC1CC2,-4.0100002,1,-4.0100002,-4.0100002,,-4.0100002,-4.0100002,0.0
CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,-4.9586072,1,-4.9586072,-4.9586072,,-4.9586072,-4.9586072,0.0
CC(=O)c1sc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)nc1C,-5.221849,1,-5.221849,-5.221849,,-5.221849,-5.221849,0.0
CC(=S)NC[C@H]1CN(c2ccc(-c3nnc(CN)s3)c(F)c2)C(=O)O1,-4.8219547,1,-4.8219547,-4.8219547,,-4.8219547,-4.8219547,0.0
CC(=S)NC[C@H]1CN(c2ccc(-c3nnc(CNS(C)(=O)=O)s3)c(F)c2)C(=O)O1,-5.619894,1,-5.619894,-5.619894,,-5.619894,-5.619894,0.0
CC(=S)NC[C@H]1CN(c2ccc(N3CCCS(=O)(=O)CC3)c(F)c2)C(=O)O1,-4.6391363,1,-4.6391363,-4.6391363,,-4.6391363,-4.6391363,0.0
CC(=S)NC[C@H]1CN(c2ccc(N3CCCS(=O)CC3)c(F)c2)C(=O)O1,-5.3386211,1,-5.3386211,-5.3386211,,-5.3386211,-5.3386211,0.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-4.6599998,3,-4.608934533333334,-4.6599998,0.12172009850149361,-4.696804,-4.4699998,0.22680420000000012
CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,-4.4099998,2,-4.4099998,-4.4099998,0.0,-4.4099998,-4.4099998,0.0
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-4.3499999,1,-4.3499999,-4.3499999,,-4.3499999,-4.3499999,0.0
CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,-4.4000001,2,-4.4000001,-4.4000001,0.0,-4.4000001,-4.4000001,0.0
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,-4.3899999,1,-4.3899999,-4.3899999,,-4.3899999,-4.3899999,0.0
CC(C(=O)O)c1ccc2c(c1)N(CCCN1CCCN(C3CC(=O)N(C)C(=O)N3C)CC1)c1ccccc1CO2,-5.7199998,1,-5.7199998,-5.7199998,,-5.7199998,-5.7199998,0.0
CC(C(=O)O)c1ccc2c(c1)N(CCCN1CCCN(c3cc(=O)n(C)c(=O)n3C)CC1)c1ccccc1S2,-5.1599998,1,-5.1599998,-5.1599998,,-5.1599998,-5.1599998,0.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-4.3899999,3,-4.482730066666667,-4.3899999,0.19536406155980526,-4.7071905,-4.3509998,0.35619069999999997
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,-4.94846055,2,-4.94846055,-4.94846055,0.002176828225882461,-4.9499998,-4.9469213,0.003078499999999984
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-6.5100002,1,-6.5100002,-6.5100002,,-6.5100002,-6.5100002,0.0
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,-5.6999998,1,-5.6999998,-5.6999998,,-5.6999998,-5.6999998,0.0
CC(C)(C)C(=O)OCOC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCCCC4)cc3)C(=O)C2)CC1,-4.4400001,1,-4.4400001,-4.4400001,,-4.4400001,-4.4400001,0.0
CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,-4.0599999,1,-4.0599999,-4.0599999,,-4.0599999,-4.0599999,0.0
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,-6.2800002,1,-6.2800002,-6.2800002,,-6.2800002,-6.2800002,0.0
CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1CC(OC(=O)CCCCC1SCC2NC(=O)NC21)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,-6.4094677,1,-6.4094677,-6.4094677,,-6.4094677,-6.4094677,0.0
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,-5.6900001,1,-5.6900001,-5.6900001,,-5.6900001,-5.6900001,0.0
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,-6.2600002,1,-6.2600002,-6.2600002,,-6.2600002,-6.2600002,0.0
CC(C)(C)NC(=O)[C@H]1C[C@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,-5.8616972,1,-5.8616972,-5.8616972,,-5.8616972,-5.8616972,0.0
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,-4.9684534,1,-4.9684534,-4.9684534,,-4.9684534,-4.9684534,0.0
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,-5.4109998,1,-5.4109998,-5.4109998,,-5.4109998,-5.4109998,0.0
CC(C)(C)NC[C@@H](COc1nsnc1N1CCOCC1)OC(=O)C1CC1,-4.45792675,2,-4.45792675,-4.45792675,0.25041967452619407,-4.6350002,-4.2808533,0.35414689999999993
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,-4.7660073999999994,2,-4.7660073999999994,-4.7660073999999994,0.17959479866237768,-4.8930001,-4.6390147,0.25398540000000036
CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](CC1CCCCC1)[C@@H](O)[C@H](O)C1CC1,-6.1300907,1,-6.1300907,-6.1300907,,-6.1300907,-6.1300907,0.0
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-5.2600002,1,-5.2600002,-5.2600002,,-5.2600002,-5.2600002,0.0
CC(C)(C)c1ccc(NC(=O)c2ccnn2CCc2ccncc2)cc1,-5.1295056,1,-5.1295056,-5.1295056,,-5.1295056,-5.1295056,0.0
CC(C)(C)c1cccc(NC(=O)c2nscc2NCc2ccncc2)c1,-5.2516832,1,-5.2516832,-5.2516832,,-5.2516832,-5.2516832,0.0
CC(C)(C)c1nn2ccccc2c1Cc1ccc(C(=O)N[C@@H]2CCOC[C@@H]2C(=O)NO)cc1,-5.3665314,1,-5.3665314,-5.3665314,,-5.3665314,-5.3665314,0.0
CC(C)(NC(=O)c1cc2ccccc2s1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1,-5.3289509,1,-5.3289509,-5.3289509,,-5.3289509,-5.3289509,0.0
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@@]4(C)C3CC[C@]12C,-4.79,1,-4.79,-4.79,,-4.79,-4.79,0.0
CC(C)(O)[C@H]1CC[C@@](C)([C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O)C5C(C)(C)[C@@H](O)CCC56CC46CC[C@]23C)O1,-4.5,1,-4.5,-4.5,,-4.5,-4.5,0.0
CC(C)=CC(=O)O[C@@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C,-4.9204097,1,-4.9204097,-4.9204097,,-4.9204097,-4.9204097,0.0
CC(C)=CCC[C@](C)(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C,-6.5883503,1,-6.5883503,-6.5883503,,-6.5883503,-6.5883503,0.0
CC(C)C(=O)Nc1ccc(N(O)O)c(C(F)(F)F)c1,-4.321653400000001,2,-4.321653400000001,-4.321653400000001,0.002337977861315859,-4.3233066,-4.3200002,0.0033064000000004867
CC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)OC[C@@H]1O[C@H](n2cc(F)c(=O)[nH]c2=O)C[C@H]1O,-6.080461,1,-6.080461,-6.080461,,-6.080461,-6.080461,0.0
CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21,-5.669776,1,-5.669776,-5.669776,,-5.669776,-5.669776,0.0
CC(C)C(N)C(=O)OC[C@@H]1O[C@H](n2cc(F)c(=O)[nH]c2=O)C[C@H]1O,-5.29,1,-5.29,-5.29,,-5.29,-5.29,0.0
