SMILES,logPapp
O1[C@@H](C)[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O[C@H]1[C@H](OC(=O)\C=C\c2cc(O)c(O)cc2)[C@H](O[C@@H](OCCc2cc(O)c(O)cc2)[C@@H]1O)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-6.6500001
O1C[C@H]2[C@@H]([C@@H](c3c(cc4OCOc4c3)[C@H]2O[C@@H]2O[C@H]3[C@@H](O[C@@H](OC3)C)[C@H](O)[C@H]2O)c2cc(OC)c(O)c(OC)c2)C1=O,-6.1499996
O(CC(O)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,-6.1199999
O(CC(OCCCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,-5.79
O(CC(OC(CCCC)C)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,-5.29
O(CC(OC(CCCCCC)C)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,-4.7399998
O1C(COC(=O)N2CCC(N3CC(=O)N(CC3)CC(=O)c3ccc(OCC(OCCCC)=O)cc3)CC2)=C(OC1=O)C,-4.3499999
O1C(COC(=O)N2CCC(N3CC(=O)N(CC3)CC(=O)c3ccc(OCC(OC4CCCCC4)=O)cc3)CC2)=C(OC1=O)C,-4.3099999
O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C)C)=O,-4.2800002
O1\C(\c2c(cccc2)C1=O)=C\COC(=O)N1CCC(N2CC(=O)N(CC2)CC(=O)c2ccc(OCC(OC3CCCCC3)=O)cc2)CC1,-4.4000001
O1CCC(OC(=O)COc2ccc(cc2)C(=O)CN2CCN(CC2=O)C2CCN(CC2)C(OC(OC(=O)C)C)=O)CC1,-4.5100002
O(CC(OC(COCC)COCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C)C)=O,-4.1500001
O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C)C(C)(C)C)=O,-4.02
O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C(C)(C)C)C(C)(C)C)=O,-4
O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C(C)(C)C)C)=O,-4.1399999
O(C(=O)COc1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OCOC(=O)C(C)(C)C)=O)C1CCCCC1,-4.4400001
OC(=O)C[C@H](NC(=O)[C@@H]1CCCN(C1)C(=O)CCC1CCNCC1)c1cccnc1,-6.21
Clc1cc(C(O)=O)c(O)cc1,-4.98
OC(C(NC)C)c1ccccc1,-4.9699998
O1c2c(C[C@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H]1c1cc(O)c(O)cc1)c(O)cc(O)c2,-6.8400002
Oc1cc(ccc1O)[C@@H](O)CNC,-6.125
O1c2c(C(=O)C[C@H]1c1cc(O)c(O)cc1)c(O)cc(O)c2,-5.2800002
O1[C@@H](CC)[C@@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C[C@@](O)(C)[C@H](O[C@H]2O[C@@H](C[C@@H](N(C)C)[C@H]2O)C)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C2)C)[C@H](C)C1=O)C,-5.7800002
O1[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C[C@](O)(C)[C@H](O[C@@H]2O[C@@H](C[C@H](N(C)C)[C@H]2O)C)[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@](OC)(C2)C)[C@@H](C)C1=O)C,-5.4299998
Oc1cc2CC[C@H]3[C@@H]4CC[C@H](O)[C@]4(CC[C@@H]3c2cc1)C,-4.73
s1cc(nc1N=C(N)N)CSCCC(N)=NS(=O)(=O)N,-6.0700002
Clc1c(cccc1Cl)C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,-4.6399999
OC(C1CCN(CC1)CCCC(O)c1ccc(cc1)C(C(O)=O)(C)C)(c1ccccc1)c1ccccc1,-6.5100002
Cl.OC(C1CCN(CC1)CCCC(O)c1ccc(cc1)C(C(O)=O)(C)C)(c1ccccc1)c1ccccc1,-5.6999998
Fc1c2O[C@@H]3[C@@H](Oc2ccc1)CNC3,-4.0999999
Fc1cc(ccc1-c1ccccc1)C(C(O)=O)C,-4.4699998
O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(OC)cc1,-4.5300002
O(C)c1ccc(cc1)CC(NCC(O)c1cc(NC=O)c(O)cc1)C,-5.6300001
O1c2c(C(=O)C(O)=C1c1ccccc1)c(O)cc(O)c2,-5.1100001
O(CCOCn1c2N=C(NC(c2nc1)=C)N)C(=O)[C@H](N)C,-5.6900001
O1C=C(C(=O)c2c1cc(O)cc2O)c1ccc(O)cc1,-4.6500001
OC(CO)CO,-4.8299999
Oc1ccc(cc1)C(NC(=O)CN)C(=O)C,-5.2800002
Clc1c2O[C@]3([C@@H](CC(=O)C=C3OC)C)C(=O)c2c(OC)cc1OC,-4.4000001
Clc1cccc(Cl)c1\C=N\N=C(N)N,-4.6799998
O=C(NCC(CC)C)\C=C\CCCCC#CC#CC,-4.23
O1c2c(C(=O)C[C@H]1c1cc(O)c(OC)cc1)c(O)cc(O)c2,-4.7399998
O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H]1C,-5.8200002
O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H]1C,-5.8200002
O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002
O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H]1C,-5.3000002
Clc1cccc(Cl)c1Nc1ccccc1CC(OCC(O)=O)=O,-4.4099998
O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H]1C,-5.8200002
O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H]1C,-5.3000002
O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H]1C,-5.8200002
Oc1ccc(NC(=O)C)cc1,-4.4400001
O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002
O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002
O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002
O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5
O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.8200002
O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5.8200002
O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.8200002
O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,-5.2600002
O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002
O=C1N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002
O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002
O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-4.6999998
O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,-5.3000002
O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H]1C,-5
O=C1N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H]1C,-5.3000002
O=C1N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H]1C,-5.0999999
O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,-5.1500001
O=C1N(N=NN1CC)CCN1CCC(N(C(=O)CC)c2ccccc2)(CC1)COC,-4.2600002
O=C1N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H]1C,-5.3000002
O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002
O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,-5.3000002
O1c2c(c(O)c(OC)c(O)c2)C(=O)C=C1c1ccc(O)cc1,-5.1799998
n1ncc2c(cccc2)c1NN,-5.1700001
O=C1CC[C@@]2([C@H]3[C@H]([C@H]4CC[C@@](O)(C(=O)CO)[C@]4(C[C@H]3O)C)CCC2=C1)C,-4.6599998
O(CCOCn1c2N=C(NC(c2nc1)=C)N)C(=O)[C@H](N)[C@@H](CC)C,-5.6799998
O=C(NO)C(C)c1ccc(cc1)CC(C)C,-4.6300001
OC(=O)C(C)c1ccc(NCC(C)=C)cc1,-4.3400002
N(CCCN1c2c(CCc3c1cccc3)cccc2)(C)C,-4.8509998
Clc1ccc(cc1)C(=O)n1c2c(cc(OC)cc2)c(CC(O)=O)c1C,-4.6900001
O1C(CO)C(O)C(O)C(OC2=C(Oc3c(C2=O)c(O)cc(O)c3)c2cc(O)c(O)cc2)C1O,-6.1700001
Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,-3.9200001
Clc1cc(Cl)ccc1[C@@]1(O[C@H](CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,-4.9299998
OC(=O)C(C)c1cc(ccc1)C(=O)c1ccccc1,-4.3509998
Clc1c(cccc1Cl)-c1nnc(nc1N)N,-4.3899999
S(=O)(Cc1nccc(OCC(F)(F)F)c1C)c1[nH]c2c(n1)cccc2,-4.1100001
Oc1cc(ccc1O)C[C@H](N)C(O)=O,-6.0500002
O=C(Nc1c(cccc1C)C)CN(CC)CC,-4.2849998
O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1Oc1ccc(cc1)[C@H]1Oc2c(ccc(O)c2)C(=O)C1,-6.5900002
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@](O)(CO)[C@H]1O)c2,-7.1199999
OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CCCCN,-7.3899999
ClC=1CC[C@H]2N(C=1C(O)=O)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1.O,-7.3400002
O=C(NCC(C)C)\C=C\CCCCC#CC#C,-3.75
OC(=O)[C@@H](N)Cc1ccccc1,-5
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2,-5.0500002
S(=O)(=O)(n1c2cc(ccc2nc1N)\C(=N\O)\c1ccccc1)C(C)C,-3.8699999
S(=O)(=O)(n1c2cc(ccc2nc1N)\C(=C\C(=O)N)\c1ccccc1)C(C)C,-4.3600001
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)ccc1)C(C)C,-4.1399999
[Na+].O.O=C(c1cccc(CC(=O)[O-])c1N)c1ccccc1,-4.52
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)ccc1)NC(=O)N(C)C,-4.1700001
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)ccc1F)C(C)C,-4.46
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NC)/c1cc(F)ccc1F)C(C)C,-4.2600002
S(=O)(=O)(n1c2cc(ccc2nc1N)\C(=C\C(=O)NC)\c1ccccc1)C(C)C,-4.1999998
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NC)/c1cccc(F)c1F)C(C)C,-4.21
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NC)/c1cc(F)ccc1)CCC,-4.1900001
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cccc(F)c1F)C(C)C,-4.4299998
Clc1nc(C(=O)N=C(N)N)c(nc1N)N,-5.8899999
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NC)/c1ccc(F)c(F)c1F)C(C)C,-4.1399999
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)c(OC)cc1)C(C)C,-4.48
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)cc(F)c1)C(C)C,-4.2399998
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1c(F)c(F)cc(F)c1F)C(C)C,-4.1999998
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1ccccc1F)C(C)C,-4.54
Fc1c(cccc1F)\C(=C/C(=O)N)\c1cc2n(C(C)C)c(nc2cc1)N.C,-5.3000002
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1ccc(F)c(F)c1F)C(C)C,-4.3299999
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)c(F)cc1)C(C)C,-4.3600001
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1ccc(F)cc1F)C(C)C,-4.3699999
S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NCC)/c1cccc(F)c1F)C(C)C,-4.0700002
s1c(cnc1NC(=O)C=1N(S(=O)(=O)c2c(cccc2)C=1O)C)C,-4.71
N(C(N=C(N)N)=N)(C)C,-6.1999998
OC(=O)CC[C@H](NC(=O)c1ccc(N(Cc2nc3c(nc(nc3N)N)nc2)C)cc1)C(O)=O,-6.0999999
[Br-].O1C2[C@H]3[N+]([C@@H](CC(OC(=O)[C@H](CO)c4ccccc4)C3)C12)(C)C,-6.1599998
Clc1cc2NC(N(c3ccccc3C)C(=O)c2cc1S(=O)(=O)N)C,-5.21
Fc1cc2c(cc1)[C@H](C(C)C)[C@](OC(=O)COC)(CC2)CCN(CCCc1[nH]c2c(n1)cccc2)C,-4.9549999
O1c2c(C(=O)C(O)=C1c1ccc(O)cc1O)c(O)cc(O)c2,-6.21
O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(O)cc3)C=C[C@@H]2O,-5.4499998
S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1,-6.1524997
O1c2c(C(=O)C(O)=C1c1cc(O)c(O)c(O)c1)c(O)cc(O)c2,-5.77
O(CC(O)CNC(C)(C)C)c1c2CC(O)C(O)Cc2ccc1,-5.4109998
O(C)c1cc2c(cc(cc2)[C@@H](C(O)=O)C)cc1,-4.6599998
[Na+].O(C)c1cc2c(cc(cc2)C(C(=O)[O-])C)cc1,-4.3299999
O1c2c(C(=O)C[C@H]1c1ccc(O)cc1)c(O)cc(O)c2,-4.6550002
O(Cc1ccccc1)C(=O)NC(Cc1c2c([nH]c1)cccc2)C(O)=O,-5.8000002
Clc1cc2N=C(N3CCNCC3)c3c(Nc2cc1)cccc3,-4.6799998
O1c2c(cc(cc2OC)\C=C\C)C(C)C1c1cc(OC)c(O)c(OC)c1,-5.3400002
O(C(Cc1cc(OC)c(OC)c(OC)c1)C)c1c(OC)cc(cc1OC)CC=C,-4.73
S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,-5.6999998
O(C(C(O)c1cc(OC)c(OC)c(OC)c1)C)c1c(OC)cc(cc1OC)CC=C,-4.5500002
O(C(C(O)c1cc(OC)c(O)cc1)C)c1c(OC)cc(cc1OC)CC=C,-4.5100002
n1cc(ccc1)C1N(CCC1)C,-4.71
Fc1cc2c3N(C=C(C(O)=O)C2=O)C(COc3c1N1CCN(CC1)C)C,-4.79
Clc1ccccc1-c1noc(C)c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,-5.5799999
O(CC(O)CNC(C)C)c1ccccc1OCC=C,-4.6799998
O(CC=C)c1ccccc1OC[C@H](OC(=O)C1CC1)CNC(C)C,-4.5450001
Fc1cc2c(N(C=C(C(O)=O)C2=O)CC)cc1N1CCN(CC1)C,-4.5999999
O=C1N(N(C)C(=C1)C)c1ccccc1,-4.4699998
O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,-4.5300002
[Cl-].O(CC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,-4.5500002
[Cl-].O(CCC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,-4.5700002
[Cl-].O(CCCC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,-4.5900002
[nH]1c2c(nc1Cc1[nH]c3c(n1)cccc3)cc(cc2)C(N)=N,-6.6999998
O\N=C(\N)/c1cc2nc([nH]c2cc1)-c1ncccc1,-4.6500001
[nH]1c2c(nc1Cc1[nH]c3c(n1)cc(cc3)C(N)=N)nccc2C,-7.0500002
O(CC)C(=O)NC(=N)c1cc2nc([nH]c2cc1)Cc1[nH]c2c(n1)cccc2,-6.1500001
O(C(=O)[C@H](CC)C)[C@@H]1[C@H]2C(=C[C@@H](O)C1)C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O,-5.8400002
o1cccc1C(=O)N1CCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1,-4.987
O=C1C=C2CC[C@@H]3[C@@H]([C@]2(C=C1)C)[C@@H](O)C[C@]1([C@H]3CC[C@]1(O)C(=O)CO)C,-4.7199998
o1cccc1-c1nc-2n(n1)C(=Nc1n(ncc1-2)CCN1CCN(CC1)c1ccc(OCCOC)cc1)N,-5.3499999
O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@H](C(=O)C)[C@]4(CC3)C)CCC2=C1)C,-4.625
Oc1c(cccc1C(C)C)C(C)C,-4.77
O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,-4.5799999
O(C[C@H](OC(=O)C1CC1)CNC(C)C)c1c2c(ccc1)cccc2,-4.5100002
S=C1NC(=CC(=O)N1)CCC,-4.1631713
O1[C@H]([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1c2OC=C(C(=O)c2ccc1O)c1ccc(O)cc1,-6.4000001
O1c2c(C(=O)C(O)=C1c1cc(O)c(O)cc1)c(O)c(O)c(O)c2,-6.6999998
O1c2c(C(=O)C(OC)=C1c1cc(O)c(O)cc1)c(O)c(OC)c(OC)c2,-5.0900002
O(C)c1cc2c(nccc2[C@H](O)[C@@H]2N3C[C@@H]([C@H](C2)CC3)C=C)cc1,-4.6900001
O1[C@](O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)(CO)[C@@H](O)[C@H](O)[C@H]1CO,-7.6199999
O1[C@@H]2O[C@@]3(OO[C@]24[C@@H](CC[C@H]([C@@H]4CC3)C)[C@@H](C)[C@@H]1OC(=O)CCC(O)=O)C,-5.4000001
O1[C@@H](CC(=O)[C@@H](\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@@H](C[C@@H](\C=C\C=C\C=C(/C)\[C@@H](OC)C[C@H]2O[C@](O)([C@@H](CC2)C)C(=O)C(=O)N2[C@@H](CCCC2)C1=O)C)C)C)[C@@H](C[C@H]1C[C@@H](OC)[C@H](O)CC1)C,-4.96
O(CCOCn1c2N=C(NC(c2nc1)=C)N)C(=O)[C@H](N)CO,-5.3299999
O1[C@H]2[C@H]3N([C@@H]([C@@H]12)CC(OC(=O)[C@H](CO)c1ccccc1)C3)C,-4.928
O1c2c(c(O)c(O)c(O)c2)C(=O)C=C1c1ccc(O)cc1,-5.1999998
O1c2c(C(=O)C=C1c1cc(OC)c(O)c(O)c1)c(O)cc(O)c2,-6
Oc1cc2c([nH]cc2CCN)cc1,-4.8600001
S(=O)(=O)(N1CCN(CC1)C)c1cc(C2=NC(=O)c3n(nc(c3N2)CCC)C)c(OCC)cc1,-4.5100002
S(=O)(=O)(Nc1ccc(cc1)C(O)CNC(C)C)C,-5.7600002
